Date,Fries,Coke,Beans,Closer
20210404,2.90128,5.98154,1.28944,
20210405,2.89387,5.98084,1.28939,
20210406,2.89387,5.98084,1.28939,
20210407,NULL,5.98084,1.28939,
20210408,2.89387,5.98084,1.28939,
20210411,2.89387,5.98084,1.28939,
20210412,2.89387,5.98084,1.28939,
20210413,2.89387,5.98084,1.28939,
20210414,2.89387,5.98084,1.28939,
20210415,2.89387,5.98084,1.28939,
20210416,2.89387,5.98084,1.28939,
20210417,2.89387,5.98084,1.28939,
20210418,2.89387,5.98084,1.28939,
20210419,2.89387,5.98084,1.28939,
20210420,2.90365,5.98084,1.28939,
20210421,2.90365,5.98084,1.28939,
20210422,2.90365,5.98084,1.28939,
20210423,2.90365,5.98084,1.28939,
20210424,2.90365,5.98084,1.28939,
20210425,2.90365,5.98084,1.28939,
20210426,2.90365,5.98084,1.28939,
20210427,2.90365,5.98084,1.28939,
20210428,2.90365,5.98084,1.28939,
20210429,2.90365,5.98084,1.28939,
20210430,2.90365,5.98084,1.28939,
20210501,2.90365,5.98084,1.28939,
20210502,2.90365,5.98084,1.28939,
20210503,2.90365,5.98084,1.28939,
20210504,2.89796,5.96864,1.28676,
20210505,2.88578,5.96864,1.28676,
20210506,2.89796,5.96864,1.28676,
20210507,2.89796,5.96864,1.28676,
20210508,2.89796,5.96864,1.28676,
20210509,2.89796,5.96864,1.28676,
20210510,2.89796,5.96864,1.28676,
20210511,2.89796,5.96864,1.28676,
20210512,2.89796,5.96864,1.28676,
20210513,2.89187,5.95644,1.28413,
20210514,2.89187,5.95644,1.28413,
20210515,2.89187,5.95644,1.28413,
20210516,2.89187,5.95644,1.28413,
20210517,2.89187,5.95644,1.28413,
20210518,2.89187,5.95644,1.28413,
20210519,2.89187,5.95644,1.28413,
20210909,NULL,NULL,9,
20220830,3.84827,7.811,1.55096,
20220901,3.93646,7.99,1.58667,
20220902,3.84839,7.811,1.5508,
