date,variable,value
19010101,TMAX,-83
19010101,TMIN,-172
19010102,TMAX,-33
19010102,TMIN,-122
19010103,TMAX,11
19010103,TMIN,-133
19010104,TMAX,78
19010104,TMIN,-61
19010105,TMAX,44
19010105,TMIN,-17
19010106,TMAX,72
19010106,TMIN,0
19010107,TMAX,17
19010107,TMIN,0
19010108,TMAX,150
19010108,TMIN,11
19010109,TMAX,100
19010109,TMIN,-33
19010110,TMAX,6
19010110,TMIN,-11
19010111,TMAX,0
19010111,TMIN,-28
19010112,TMAX,22
19010112,TMIN,-56
19010113,TMAX,17
19010113,TMIN,-17
19010114,TMAX,106
19010114,TMIN,-11
19010115,TMAX,172
19010115,TMIN,33
19010116,TMAX,39
19010116,TMIN,0
19010117,TMAX,0
19010117,TMIN,-78
19010118,TMAX,-6
19010118,TMIN,-89
19010119,TMAX,17
19010119,TMIN,-83
19010120,TMAX,144
19010120,TMIN,6
19010121,TMAX,78
19010121,TMIN,22
19010122,TMAX,28
19010122,TMIN,-28
19010123,TMAX,133
19010123,TMIN,0
19010124,TMAX,0
19010124,TMIN,-67
19010125,TMAX,-11
19010125,TMIN,-100
19010126,TMAX,22
19010126,TMIN,-44
19010127,TMAX,22
19010127,TMIN,-33
19010128,TMAX,-11
19010128,TMIN,-50
19010129,TMAX,44
19010129,TMIN,-56
19010130,TMAX,-56
19010130,TMIN,-117
19010131,TMAX,11
19010131,TMIN,-94
19010201,TMAX,0
19010201,TMIN,-83
19010202,TMAX,0
19010202,TMIN,-33
19010203,TMAX,28
19010203,TMIN,-61
19010204,TMAX,-61
19010204,TMIN,-94
19010205,TMAX,-89
19010205,TMIN,-161
19010206,TMAX,-61
19010206,TMIN,-161
19010207,TMAX,-11
19010207,TMIN,-89
19010208,TMAX,11
19010208,TMIN,-33
19010209,TMAX,-33
19010209,TMIN,-67
19010210,TMAX,-33
19010210,TMIN,-133
19010211,TMAX,22
19010211,TMIN,-72
19010212,TMAX,-44
19010212,TMIN,-122
19010213,TMAX,22
19010213,TMIN,-117
19010214,TMAX,56
19010214,TMIN,-56
19010215,TMAX,100
19010215,TMIN,-17
19010216,TMAX,-6
19010216,TMIN,-56
19010217,TMAX,100
19010217,TMIN,-11
19010218,TMAX,44
19010218,TMIN,-56
