date,variable,value
1776,January,11
1777,January,-11
1778,January,22
1779,January,17
1780,January,16
1781,January,20
1782,January,25
1783,January,31
1784,January,17
1785,January,26
1786,January,23
1787,January,19
1788,January,57
1789,January,6
1790,January,24
1791,January,58
1792,January,31
1793,January,6
1794,January,47
1795,January,-20
1796,January,53
1797,January,30
1798,January,45
1799,January,-12
1800,January,46
1801,January,34
1802,January,29
1803,January,44
1804,January,69
1805,January,13
1806,January,24
1807,January,33
1808,January,13
1809,January,26
1810,January,21
1811,January,12
1812,January,-6
1813,January,18
1814,January,16
1815,January,7
1816,January,15
1817,January,41
1818,January,29
1819,January,23
1820,January,12
1821,January,31
1822,January,50
1823,January,1
1824,January,44
1825,January,43
1826,January,-1
1827,January,30
1828,January,41
1829,January,18
1830,January,-24
1831,January,26
1832,January,35
1833,January,23
1834,January,50
1835,January,42
1836,January,-2
1837,January,13
1838,January,7
1839,January,46
1840,January,51
1841,January,24
1842,January,26
1843,January,67
1844,January,48
1845,January,63
1846,January,69
1847,January,36
1848,January,12
1849,January,44
1850,January,10
1851,January,54
1852,January,38
1853,January,52
1854,January,35
1855,January,21
1856,January,37
1857,January,31
1858,January,-0
1859,January,31
1860,January,24
1861,January,12
1862,January,25
1863,January,54
1864,January,-1
1865,January,37
1866,January,59
1867,January,30
1868,January,20
1869,January,32
1870,January,24
1871,January,14
1872,January,37
1873,January,64
1874,January,26
1875,January,40
1876,January,25
1877,January,74
1878,January,45
1879,January,46
1880,January,9
1881,January,25
1882,January,56
1883,January,45
1884,January,66
1885,January,29
1886,January,29
1887,January,23
1888,January,25
1889,January,50
1890,January,53
1891,January,20
1892,January,33
1893,January,9
1894,January,20
1895,January,20
1896,January,34
1897,January,55
1898,January,68
1899,January,84
1900,January,61
1901,January,47
1902,January,61
1903,January,48
1904,January,61
1905,January,37
1906,January,48
1907,January,32
1908,January,59
1909,January,50
1910,January,63
1911,January,41
1912,January,53
1913,January,44
1914,January,30
1915,January,42
1916,January,53
1917,January,34
1918,January,32
1919,January,66
1920,January,91
1921,January,83
1922,January,41
1923,January,53
1924,January,30
1925,January,63
1926,January,35
1927,January,56
1928,January,60
1929,January,17
1930,January,39
1931,January,52
1932,January,69
1933,January,39
1934,January,40
1935,January,27
1936,January,75
1937,January,37
1938,January,42
1939,January,55
1940,January,14
1941,January,22
1942,January,15
1943,January,31
1944,January,59
1945,January,8
1946,January,33
1947,January,2
1948,January,58
1949,January,70
1950,January,39
1951,January,72
1952,January,51
1953,January,37
1954,January,23
1955,January,60
1956,January,43
1957,January,51
1958,January,47
1959,January,55
1960,January,43
1961,January,34
1962,January,64
1963,January,22
1964,January,39
1965,January,68
1966,January,45
1967,January,44
1968,January,50
1969,January,40
1970,January,45
1971,January,49
1972,January,52
1973,January,56
1974,January,79
1975,January,77
1976,January,69
1977,January,44
1978,January,66
1979,January,42
1980,January,55
1981,January,80
1982,January,65
1983,January,89
1984,January,65
1985,January,21
1986,January,81
1987,January,76
1988,January,81
1989,January,66
1990,January,66
1991,January,60
1992,January,57
1993,January,76
1994,January,89
1995,January,69
1996,January,51
1997,January,68
1998,January,69
1999,January,81
2000,January,72
2001,January,52
2002,January,84
2003,January,85
2004,January,80
2005,January,96
2006,January,74
2007,January,132
2008,January,115
