date,variable,value
1824,TMAX,134
1825,TMAX,133
1826,TMAX,132
1827,TMAX,129
1828,TMAX,130
1829,TMAX,104
1830,TMAX,122
1831,TMAX,133
1832,TMAX,124
1833,TMAX,132
1834,TMAX,145
1835,TMAX,129
1836,TMAX,128
1837,TMAX,114
1838,TMAX,108
1839,TMAX,123
1840,TMAX,114
1841,TMAX,131
1842,TMAX,125
1843,TMAX,117
1844,TMAX,115
1845,TMAX,118
1846,TMAX,137
1847,TMAX,119
1848,TMAX,128
1849,TMAX,121
1850,TMAX,117
1851,TMAX,116
1852,TMAX,135
1853,TMAX,110
1854,TMAX,126
1855,TMAX,108
1856,TMAX,126
1857,TMAX,135
1858,TMAX,120
1859,TMAX,136
1860,TMAX,113
1861,TMAX,127
1862,TMAX,132
1863,TMAX,137
1864,TMAX,107
1865,TMAX,131
1866,TMAX,136
1867,TMAX,127
1868,TMAX,141
1869,TMAX,129
1870,TMAX,
1871,TMAX,113
1872,TMAX,144
1873,TMAX,133
1874,TMAX,134
1875,TMAX,71
1876,TMAX,
1877,TMAX,
1878,TMAX,155
1879,TMAX,126
1880,TMAX,149
1881,TMAX,130
1882,TMAX,141
1883,TMAX,134
1884,TMAX,140
1885,TMAX,132
1886,TMAX,138
1887,TMAX,123
1888,TMAX,127
1889,TMAX,129
1890,TMAX,128
1891,TMAX,136
1892,TMAX,141
1893,TMAX,141
1894,TMAX,139
1895,TMAX,137
1896,TMAX,131
1897,TMAX,137
1898,TMAX,143
1899,TMAX,141
1900,TMAX,144
1901,TMAX,135
1902,TMAX,129
1903,TMAX,146
1904,TMAX,148
1905,TMAX,141
1906,TMAX,149
1907,TMAX,143
1908,TMAX,139
1909,TMAX,139
1910,TMAX,150
1911,TMAX,157
1912,TMAX,144
1913,TMAX,140
1914,TMAX,141
1915,TMAX,135
1916,TMAX,140
1917,TMAX,131
1918,TMAX,144
1919,TMAX,133
1920,TMAX,143
1921,TMAX,152
1922,TMAX,129
1923,TMAX,133
1924,TMAX,130
1925,TMAX,138
1926,TMAX,137
1927,TMAX,133
1928,TMAX,139
1929,TMAX,133
1930,TMAX,142
1931,TMAX,131
1932,TMAX,141
1933,TMAX,134
1934,TMAX,158
1935,TMAX,143
1936,TMAX,140
1937,TMAX,144
1938,TMAX,146
1939,TMAX,136
1940,TMAX,119
1941,TMAX,126
1942,TMAX,129
1943,TMAX,150
1944,TMAX,137
1945,TMAX,135
1946,TMAX,141
1947,TMAX,144
1948,TMAX,150
1949,TMAX,152
1950,TMAX,143
1951,TMAX,145
1952,TMAX,134
1953,TMAX,151
1954,TMAX,133
1955,TMAX,132
1956,TMAX,125
1957,TMAX,146
1958,TMAX,140
1959,TMAX,157
1960,TMAX,139
1961,TMAX,149
1962,TMAX,129
1963,TMAX,129
1964,TMAX,140
1965,TMAX,133
1966,TMAX,142
1967,TMAX,151
1968,TMAX,137
1969,TMAX,135
1970,TMAX,135
1971,TMAX,147
1972,TMAX,135
1973,TMAX,142
1974,TMAX,145
1975,TMAX,147
1976,TMAX,145
1977,TMAX,141
1978,TMAX,132
1979,TMAX,133
1980,TMAX,129
1981,TMAX,138
1982,TMAX,152
1983,TMAX,151
1984,TMAX,133
1985,TMAX,134
1986,TMAX,138
1987,TMAX,129
1988,TMAX,149
1989,TMAX,159
1990,TMAX,157
1991,TMAX,145
1992,TMAX,153
1993,TMAX,142
1994,TMAX,155
1995,TMAX,145
1996,TMAX,123
1997,TMAX,146
1998,TMAX,148
1999,TMAX,153
2000,TMAX,158
2001,TMAX,146
2002,TMAX,150
2003,TMAX,156
2004,TMAX,146
2005,TMAX,151
2006,TMAX,156
2007,TMAX,159
2008,TMAX,155
2009,TMAX,151
2010,TMAX,134
2011,TMAX,162
2012,TMAX,154
2013,TMAX,142
2014,TMAX,164
2015,TMAX,164
2016,TMAX,155
2017,TMAX,158
2018,TMAX,169
2019,TMAX,168
2020,TMAX,167
2021,TMAX,149
